DRUG 1,DRUG 2,MECHANISM OF INTERACTION,ALTERNATIVES,RISK RATING
AMIKACIN,LOOP DIURETICS,Additive ototoxicity and nephrotoxicity,Consult prescriber,X
AMIKACIN,TACROLIMUS,Additive nephrotoxicity,Consult prescriber,X
AMIKACIN,VANCOMYCIN,Additive nephrotoxicity and ototoxicity,Consult prescriber,X
AMLODIPINE,CLARITHROMYCIN,Clarithromycin may increase the serum concentration of Amlodipine. MOA: Inhibition of CYP3A4,Azithromycin,D
AMLODIPINE,SIMVASTATIN,Increased simvastatin levels due to CYP3A4 inhibition,Pravastatin,D
AMOXICILLIN,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Cephalexin,D
AMOXICILLIN,PROBENECID,Increased amoxicillin levels due to reduced renal clearance,Consult prescriber,D
AMOXICILLIN,WARFARIN,Potential increase in anticoagulant effect due to altered gut flora,Apixaban,D
AMOXICILLIN,ALLOPURINOL,Increased risk of rash,Febuxostat,D
AMOXICILLIN,TETRACYCLINE,Decreased efficacy of tetracycline due to antagonism,Consult prescriber,D
AMPICILLIN,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Cephalexin,D
AMPICILLIN,PROBENECID,Increased ampicillin levels due to reduced renal clearance,Consult prescriber,D
AMPICILLIN,WARFARIN,Potential increase in anticoagulant effect due to altered gut flora,Apixaban,D
AMPICILLIN,ALLOPURINOL,Increased risk of rash,Febuxostat,D
APREPITANT,CLARITHROMYCIN,Clarithromycin may increase the serum concentration of Aprepitant. MOA: Inhibition of CYP3A4,Azithromycin,D
APREPITANT,DEXAMETHASONE,Aprepitant may increase the serum concentration of Dexamethasone. MOA: Inhibition of CYP3A4,Dose adjustment of dexamethasone,D
APREPITANT,DILTIAZEM,Diltiazem may increase the serum concentration of Aprepitant. MOA: Inhibition of CYP3A4,Amlodipine,D
APREPITANT,ERYTHROMYCIN,Erythromycin may increase the serum concentration of Aprepitant. MOA: Inhibition of CYP3A4,Azithromycin,D
APREPITANT,ITRACONAZOLE,Itraconazole may increase the serum concentration of Aprepitant. MOA: Inhibition of CYP3A4,Fluconazole,D
APREPITANT,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Aprepitant. MOA: Inhibition of CYP3A4,Itraconazole,D
APREPITANT,METHYLPREDNISOLONE,Aprepitant may increase the serum concentration of Methylprednisolone. MOA: Inhibition of CYP3A4,Dose adjustment of methylprednisolone,D
APREPITANT,RIFAMPICIN,Rifampicin may decrease the serum concentration of Aprepitant. MOA: Induction of CYP3A4,Consult prescriber,D
APREPITANT,RITONAVIR,Ritonavir may increase the serum concentration of Aprepitant. MOA: Inhibition of CYP3A4,Consult prescriber,D
APREPITANT,VERAPAMIL,Verapamil may increase the serum concentration of Aprepitant. MOA: Inhibition of CYP3A4,Amlodipine,D
ASPIRIN,ACECLOFENAC,Increased risk of gastrointestinal bleeding,Paracetamol,D
ASPIRIN,IBUPROFEN,Decreased antiplatelet effect of aspirin,Paracetamol,D
ASPIRIN,KETOROLAC,Increased risk of gastrointestinal bleeding,Paracetamol,D
ASPIRIN,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
ASPIRIN,NAPROXEN,Increased risk of gastrointestinal bleeding,Paracetamol,D
ASPIRIN,PIROXICAM,Increased risk of gastrointestinal bleeding,Paracetamol,D
ASPIRIN,WARFARIN,Increased anticoagulant effect due to additive effects,Apixaban,D
ASPIRIN,VALPROATE,Increased valproate levels due to displacement from protein binding,Levetiracetam,D
ATORVASTATIN,CLARITHROMYCIN,Clarithromycin may increase the serum concentration of Atorvastatin. MOA: Inhibition of CYP3A4,Rosuvastatin,D
ATORVASTATIN,CYCLOSPORINE,Increased atorvastatin levels due to P-glycoprotein inhibition,Pravastatin,D
ATORVASTATIN,DILTIAZEM,Diltiazem may increase the serum concentration of Atorvastatin. MOA: Inhibition of CYP3A4,Amlodipine,D
ATORVASTATIN,ERYTHROMYCIN,Erythromycin may increase the serum concentration of Atorvastatin. MOA: Inhibition of CYP3A4,Azithromycin,D
ATORVASTATIN,GEMFIBROZIL,Increased risk of myopathy due to altered metabolism,Fenofibrate,D
ATORVASTATIN,ITRACONAZOLE,Itraconazole may increase the serum concentration of Atorvastatin. MOA: Inhibition of CYP3A4,Fluconazole,D
ATORVASTATIN,RIFAMPICIN,Rifampicin may decrease the serum concentration of Atorvastatin. MOA: Induction of CYP3A4,Consult prescriber,D
ATORVASTATIN,VERAPAMIL,Verapamil may increase the serum concentration of Atorvastatin. MOA: Inhibition of CYP3A4,Amlodipine,D
AZATHIOPRINE,ACECLOFENAC,Increased risk of myelosuppression,Paracetamol,D
AZATHIOPRINE,ALLOPURINOL,Increased azathioprine levels due to inhibition of xanthine oxidase,Febuxostat,X
AZATHIOPRINE,FEBUXOSTAT,Increased azathioprine levels due to inhibition of xanthine oxidase,Consult prescriber,D
AZATHIOPRINE,WARFARIN,Potential increase in anticoagulant effect due to altered metabolism,Apixaban,D
AZITHROMYCIN,CLARITHROMYCIN,Potential competition for metabolism,Erythromycin,D
AZITHROMYCIN,RIFAMPICIN,Rifampicin may decrease the serum concentration of Azithromycin. MOA: Induction of metabolism,Consult prescriber,D
AZITHROMYCIN,WARFARIN,Potential increase in anticoagulant effect due to altered gut flora,Apixaban,D
AZITHROMYCIN,THEOPHYLLINE,Potential increase in theophylline levels due to altered metabolism,Consult prescriber,D
BISOPROLOL,CLONIDINE,Increased risk of bradycardia and hypotension,Metoprolol,D
BISOPROLOL,RIFAMPICIN,Rifampicin may decrease the serum concentration of Bisoprolol. MOA: Induction of metabolism,Consult prescriber,D
BUDESONIDE,CLARITHROMYCIN,Clarithromycin may increase the serum concentration of Budesonide. MOA: Inhibition of CYP3A4,Azithromycin,D
BUDESONIDE,ERYTHROMYCIN,Erythromycin may increase the serum concentration of Budesonide. MOA: Inhibition of CYP3A4,Azithromycin,D
BUDESONIDE,ITRACONAZOLE,Itraconazole may increase the serum concentration of Budesonide. MOA: Inhibition of CYP3A4,Fluconazole,D
BUDESONIDE,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Budesonide. MOA: Inhibition of CYP3A4,Itraconazole,D
BUDESONIDE,RITONAVIR,Ritonavir may increase the serum concentration of Budesonide. MOA: Inhibition of CYP3A4,Consult prescriber,D
CAFFEINE,CIPROFLOXACIN,Ciprofloxacin may increase the serum concentration of Caffeine. MOA: Inhibition of CYP1A2,Levofloxacin,D
CAFFEINE,THEOPHYLLINE,Additive CNS stimulation,Consult prescriber,D
CALCITRIOL,CHOLESTYRAMINE,Decreased absorption of calcitriol due to bile acid binding,Separate the doses,D
CALCITRIOL,THIAZIDE DIURETICS,Increased risk of hypercalcemia,Loop diuretics,D
CARBAMAZEPINE,CIMETIDINE,Cimetidine may increase the serum concentration of Carbamazepine. MOA: Inhibition of metabolism,Ranitidine,D
CARBAMAZEPINE,CLARITHROMYCIN,Clarithromycin may increase the serum concentration of Carbamazepine. MOA: Inhibition of CYP3A4,Azithromycin,D
CARBAMAZEPINE,CLONAZEPAM,Additive CNS depression,Levetiracetam,D
CARBAMAZEPINE,DILTIAZEM,Diltiazem may increase the serum concentration of Carbamazepine. MOA: Inhibition of CYP3A4,Amlodipine,D
CARBAMAZEPINE,ERYTHROMYCIN,Erythromycin may increase the serum concentration of Carbamazepine. MOA: Inhibition of CYP3A4,Azithromycin,D
CARBAMAZEPINE,FLUOXETINE,Fluoxetine may increase the serum concentration of Carbamazepine. MOA: Inhibition of CYP3A4,Sertraline,D
CARBAMAZEPINE,ISONIAZID,Increased carbamazepine levels due to inhibition of metabolism,Consult prescriber,D
CARBAMAZEPINE,ITRACONAZOLE,Itraconazole may increase the serum concentration of Carbamazepine. MOA: Inhibition of CYP3A4,Fluconazole,D
CARBAMAZEPINE,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Carbamazepine. MOA: Inhibition of CYP3A4,Itraconazole,D
CARBAMAZEPINE,PHENYTOIN,Phenytoin may decrease the serum concentration of Carbamazepine. MOA: Induction of metabolism,Levetiracetam,D
CARBAMAZEPINE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Carbamazepine. MOA: Induction of CYP3A4,Consult prescriber,D
CARBAMAZEPINE,VERAPAMIL,Verapamil may increase the serum concentration of Carbamazepine. MOA: Inhibition of CYP3A4,Amlodipine,D
CEFIXIME,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Cefixime. MOA: Induction of metabolism,Ceftriaxone,D
CEFIXIME,WARFARIN,Potential increase in anticoagulant effect due to altered gut flora,Apixaban,D
CEFPODOXIME,PROBENECID,Increased cefpodoxime levels due to reduced renal clearance,Consult prescriber,D
CEFPODOXIME,WARFARIN,Potential increase in anticoagulant effect due to altered gut flora,Apixaban,D
CEFTRIAXONE,CHLORAMPHENICOL,Antagonistic effects on bacterial protein synthesis,Consult prescriber,D
CEFTRIAXONE,WARFARIN,Potential increase in anticoagulant effect due to altered gut flora,Apixaban,D
CEFUROXIME,PROBENECID,Increased cefuroxime levels due to reduced renal clearance,Consult prescriber,D
CELECOXIB,ACECLOFENAC,Increased risk of gastrointestinal bleeding,Paracetamol,D
CELECOXIB,FLUCONAZOLE,Fluconazole may increase the serum concentration of Celecoxib. MOA: Inhibition of CYP2C9,Itraconazole,D
CELECOXIB,LITHIUM,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
CELECOXIB,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
CELECOXIB,WARFARIN,Increased anticoagulant effect due to CYP2C9 inhibition,Apixaban,D
CETIRIZINE,THEOPHYLLINE,Potential increase in theophylline levels due to altered metabolism,Consult prescriber,D
CHOLECALCIFEROL,CHOLESTYRAMINE,Decreased absorption of cholecalciferol due to bile acid binding,Separate the doses,D
CHOLECALCIFEROL,THIAZIDE DIURETICS,Increased risk of hypercalcemia,Loop diuretics,D
CIPROFLOXACIN,CAFFEINE,Ciprofloxacin may increase the serum concentration of Caffeine. MOA: Inhibition of CYP1A2,Levofloxacin,D
CIPROFLOXACIN,CYCLOSPORINE,Increased cyclosporine levels due to P-glycoprotein inhibition,Tacrolimus,D
CIPROFLOXACIN,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Levofloxacin,D
CIPROFLOXACIN,PHENYTOIN,Phenytoin may decrease the serum concentration of Ciprofloxacin. MOA: Induction of metabolism,Levofloxacin,D
CIPROFLOXACIN,RIFAMPICIN,Rifampicin may decrease the serum concentration of Ciprofloxacin. MOA: Induction of CYP3A4,Levofloxacin,D
CIPROFLOXACIN,THEOPHYLLINE,Ciprofloxacin may increase the serum concentration of Theophylline. MOA: Inhibition of CYP1A2,Levofloxacin,D
CIPROFLOXACIN,TIZANIDINE,Increased tizanidine levels due to CYP1A2 inhibition,Consult prescriber,X
CIPROFLOXACIN,WARFARIN,Potential increase in anticoagulant effect due to altered metabolism,Apixaban,D
CIPROFLOXACIN,ZINC,Chelation reducing ciprofloxacin absorption,Separate the doses,D
CLARITHROMYCIN,ATORVASTATIN,Clarithromycin may increase the serum concentration of Atorvastatin. MOA: Inhibition of CYP3A4,Rosuvastatin,D
CLARITHROMYCIN,CARBAMAZEPINE,Clarithromycin may increase the serum concentration of Carbamazepine. MOA: Inhibition of CYP3A4,Azithromycin,D
CLARITHROMYCIN,CYCLOSPORINE,Increased cyclosporine levels due to CYP3A4 inhibition,Azithromycin,D
CLARITHROMYCIN,DIGOXIN,Increased digoxin levels due to P-glycoprotein inhibition,Azithromycin,D
CLARITHROMYCIN,ITRACONAZOLE,Mutual increase in serum concentrations due to CYP3A4 inhibition,Fluconazole,D
CLARITHROMYCIN,RIFAMPICIN,Rifampicin may decrease the serum concentration of Clarithromycin. MOA: Induction of CYP3A4,Azithromycin,D
CLARITHROMYCIN,SIMVASTATIN,Clarithromycin may increase the serum concentration of Simvastatin. MOA: Inhibition of CYP3A4,Pravastatin,X
CLARITHROMYCIN,THEOPHYLLINE,Clarithromycin may increase the serum concentration of Theophylline. MOA: Inhibition of CYP3A4,Azithromycin,D
CLARITHROMYCIN,VERAPAMIL,Mutual increase in serum concentrations due to CYP3A4 inhibition,Amlodipine,D
CLARITHROMYCIN,WARFARIN,Increased anticoagulant effect due to CYP3A4 inhibition,Apixaban,D
CLOBAZAM,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Clobazam. MOA: Induction of metabolism,Levetiracetam,D
CLOBAZAM,PHENYTOIN,Phenytoin may decrease the serum concentration of Clobazam. MOA: Induction of metabolism,Levetiracetam,D
CLOBAZAM,RIFAMPICIN,Rifampicin may decrease the serum concentration of Clobazam. MOA: Induction of CYP3A4,Consult prescriber,D
CLOBAZAM,VALPROATE,Additive CNS depression,Levetiracetam,D
CLOBAZAM,FLUCONAZOLE,Fluconazole may increase the serum concentration of Clobazam. MOA: Inhibition of CYP2C19,Itraconazole,D
CLONAZEPAM,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Clonazepam. MOA: Induction of metabolism,Levetiracetam,D
CLONAZEPAM,PHENYTOIN,Phenytoin may decrease the serum concentration of Clonazepam. MOA: Induction of metabolism,Levetiracetam,D
CLONAZEPAM,RIFAMPICIN,Rifampicin may decrease the serum concentration of Clonazepam. MOA: Induction of CYP3A4,Consult prescriber,D
CLONAZEPAM,VALPROATE,Additive CNS depression,Levetiracetam,D
CLONAZEPAM,FLUCONAZOLE,Fluconazole may increase the serum concentration of Clonazepam. MOA: Inhibition of CYP3A4,Itraconazole,D
CLOPIDOGREL,ASPIRIN,Increased risk of bleeding due to additive antiplatelet effects,Consult prescriber,D
CLOPIDOGREL,FLUCONAZOLE,Fluconazole may decrease the serum concentration of Clopidogrel active metabolite. MOA: Inhibition of CYP2C19,Itraconazole,D
CLOPIDOGREL,OMEPRAZOLE,Omeprazole may decrease the serum concentration of Clopidogrel active metabolite. MOA: Inhibition of CYP2C19,Pantoprazole,D
CLOPIDOGREL,RIFAMPICIN,Rifampicin may increase the serum concentration of Clopidogrel active metabolite. MOA: Induction of CYP2C19,Consult prescriber,D
CLOPIDOGREL,WARFARIN,Increased risk of bleeding due to additive anticoagulant effects,Apixaban,D
CODEINE,ALCOHOL,Additive CNS depression,Separate the doses,D
CODEINE,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Codeine active metabolite. MOA: Induction of metabolism,Consult prescriber,D
CODEINE,CHLORZOXAZONE,Additive CNS depression,Separate the doses,D
CODEINE,PHENYTOIN,Phenytoin may decrease the serum concentration of Codeine active metabolite. MOA: Induction of metabolism,Consult prescriber,D
CODEINE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Codeine active metabolite. MOA: Induction of CYP3A4,Consult prescriber,D
COLCHICINE,CLARITHROMYCIN,Clarithromycin may increase the serum concentration of Colchicine. MOA: Inhibition of CYP3A4,Azithromycin,X
COLCHICINE,CYCLOSPORINE,Increased colchicine levels due to P-glycoprotein inhibition,Consult prescriber,D
COLCHICINE,ERYTHROMYCIN,Erythromycin may increase the serum concentration of Colchicine. MOA: Inhibition of CYP3A4,Azithromycin,D
COLCHICINE,ITRACONAZOLE,Itraconazole may increase the serum concentration of Colchicine. MOA: Inhibition of CYP3A4,Fluconazole,D
COLCHICINE,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Colchicine. MOA: Inhibition of CYP3A4,Itraconazole,D
COLCHICINE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Colchicine. MOA: Induction of CYP3A4,Consult prescriber,D
COLCHICINE,VERAPAMIL,Verapamil may increase the serum concentration of Colchicine. MOA: Inhibition of CYP3A4,Amlodipine,D
CYCLOSPORINE,AMIKACIN,Additive nephrotoxicity,Tacrolimus,X
CYCLOSPORINE,ATORVASTATIN,Increased atorvastatin levels due to P-glycoprotein inhibition,Pravastatin,D
CYCLOSPORINE,CLARITHROMYCIN,Increased cyclosporine levels due to CYP3A4 inhibition,Azithromycin,D
CYCLOSPORINE,COLCHICINE,Increased colchicine levels due to P-glycoprotein inhibition,Consult prescriber,D
CYCLOSPORINE,ERYTHROMYCIN,Increased cyclosporine levels due to CYP3A4 inhibition,Azithromycin,D
CYCLOSPORINE,ITRACONAZOLE,Increased cyclosporine levels due to CYP3A4 inhibition,Fluconazole,D
CYCLOSPORINE,KETOCONAZOLE,Increased cyclosporine levels due to CYP3A4 inhibition,Itraconazole,D
CYCLOSPORINE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Cyclosporine. MOA: Induction of CYP3A4,Consult prescriber,D
CYCLOSPORINE,SIMVASTATIN,Increased simvastatin levels due to CYP3A4 inhibition,Pravastatin,D
CYCLOSPORINE,TACROLIMUS,Additive nephrotoxicity,Consult prescriber,X
CYCLOSPORINE,VANCOMYCIN,Additive nephrotoxicity,Consult prescriber,D
DESLORATADINE,ERYTHROMYCIN,Erythromycin may increase the serum concentration of Desloratadine. MOA: Inhibition of CYP3A4,Azithromycin,D
DESLORATADINE,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Desloratadine. MOA: Inhibition of CYP3A4,Itraconazole,D
DEXAMETHASONE,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Dexamethasone. MOA: Induction of CYP3A4,Consult prescriber,D
DEXAMETHASONE,CLARITHROMYCIN,Clarithromycin may increase the serum concentration of Dexamethasone. MOA: Inhibition of CYP3A4,Azithromycin,D
DEXAMETHASONE,ERYTHROMYCIN,Erythromycin may increase the serum concentration of Dexamethasone. MOA: Inhibition of CYP3A4,Azithromycin,D
DEXAMETHASONE,ITRACONAZOLE,Itraconazole may increase the serum concentration of Dexamethasone. MOA: Inhibition of CYP3A4,Fluconazole,D
DEXAMETHASONE,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Dexamethasone. MOA: Inhibition of CYP3A4,Itraconazole,D
DEXAMETHASONE,PHENYTOIN,Phenytoin may decrease the serum concentration of Dexamethasone. MOA: Induction of CYP3A4,Consult prescriber,D
DEXAMETHASONE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Dexamethasone. MOA: Induction of CYP3A4,Consult prescriber,D
DEXTROMETHORPHAN,CITALOPRAM,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,D
DEXTROMETHORPHAN,FLUOXETINE,Increased dextromethorphan levels due to CYP2D6 inhibition,Consult prescriber,D
DEXTROMETHORPHAN,PAROXETINE,Increased dextromethorphan levels due to CYP2D6 inhibition,Consult prescriber,D
DEXTROMETHORPHAN,QUINIDINE,Increased dextromethorphan levels due to CYP2D6 inhibition,Consult prescriber,D
DEXTROMETHORPHAN,SERTRALINE,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,D
DIAZEPAM,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Diazepam. MOA: Induction of metabolism,Lorazepam,D
DIAZEPAM,CIMETIDINE,Cimetidine may increase the serum concentration of Diazepam. MOA: Inhibition of metabolism,Ranitidine,D
DIAZEPAM,FLUCONAZOLE,Fluconazole may increase the serum concentration of Diazepam. MOA: Inhibition of CYP2C19,Itraconazole,D
DIAZEPAM,PHENYTOIN,Phenytoin may decrease the serum concentration of Diazepam. MOA: Induction of metabolism,Lorazepam,D
DIAZEPAM,RIFAMPICIN,Rifampicin may decrease the serum concentration of Diazepam. MOA: Induction of CYP3A4,Consult prescriber,D
DICLOFENAC,ACECLOFENAC,Increased risk of gastrointestinal bleeding,Paracetamol,D
DICLOFENAC,LITHIUM,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
DICLOFENAC,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
DICLOFENAC,WARFARIN,Increased anticoagulant effect due to additive effects,Apixaban,D
DIGOXIN,AMIODARONE,Increased digoxin levels due to P-glycoprotein inhibition,Metoprolol,D
DIGOXIN,CLARITHROMYCIN,Increased digoxin levels due to P-glycoprotein inhibition,Azithromycin,D
DIGOXIN,DILTIAZEM,Increased digoxin levels due to P-glycoprotein inhibition,Amlodipine,D
DIGOXIN,ERYTHROMYCIN,Increased digoxin levels due to P-glycoprotein inhibition,Azithromycin,D
DIGOXIN,ITRACONAZOLE,Increased digoxin levels due to P-glycoprotein inhibition,Fluconazole,D
DIGOXIN,QUINIDINE,Increased digoxin levels due to P-glycoprotein inhibition,Metoprolol,D
DIGOXIN,RIFAMPICIN,Rifampicin may decrease the serum concentration of Digoxin. MOA: Induction of P-glycoprotein,Consult prescriber,D
DIGOXIN,VERAPAMIL,Increased digoxin levels due to P-glycoprotein inhibition,Amlodipine,D
DILTIAZEM,ATORVASTATIN,Diltiazem may increase the serum concentration of Atorvastatin. MOA: Inhibition of CYP3A4,Amlodipine,D
DILTIAZEM,CARBAMAZEPINE,Diltiazem may increase the serum concentration of Carbamazepine. MOA: Inhibition of CYP3A4,Amlodipine,D
DILTIAZEM,CYCLOSPORINE,Increased cyclosporine levels due to CYP3A4 inhibition,Amlodipine,D
DILTIAZEM,SIMVASTATIN,Increased simvastatin levels due to CYP3A4 inhibition,Pravastatin,D
DOMPERIDONE,CISAPRIDE,Additive QT prolongation,Metoclopramide,X
DOMPERIDONE,CLARITHROMYCIN,Clarithromycin may increase the serum concentration of Domperidone. MOA: Inhibition of CYP3A4,Azithromycin,X
DOMPERIDONE,ERYTHROMYCIN,Erythromycin may increase the serum concentration of Domperidone. MOA: Inhibition of CYP3A4,Azithromycin,X
DOMPERIDONE,ITRACONAZOLE,Itraconazole may increase the serum concentration of Domperidone. MOA: Inhibition of CYP3A4,Fluconazole,X
DOMPERIDONE,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Domperidone. MOA: Inhibition of CYP3A4,Itraconazole,X
DOXEPIN,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Doxepin. MOA: Induction of CYP3A4,Consult prescriber,D
DOXEPIN,CIMETIDINE,Cimetidine may increase the serum concentration of Doxepin. MOA: Inhibition of metabolism,Ranitidine,D
DOXEPIN,FLUOXETINE,Increased doxepin levels due to CYP2D6 inhibition,Sertraline,D
DOXEPIN,PAROXETINE,Increased doxepin levels due to CYP2D6 inhibition,Fluvoxamine,D
DOXEPIN,PHENYTOIN,Phenytoin may decrease the serum concentration of Doxepin. MOA: Induction of CYP3A4,Consult prescriber,D
DOXEPIN,RIFAMPICIN,Rifampicin may decrease the serum concentration of Doxepin. MOA: Induction of CYP3A4,Consult prescriber,D
DOXYCYCLINE,ANTACIDS,Chelation reducing doxycycline absorption,Separate the doses,D
DOXYCYCLINE,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Doxycycline. MOA: Induction of metabolism,Minocycline,D
DOXYCYCLINE,IRON,Chelation reducing doxycycline absorption,Separate the doses,D
DOXYCYCLINE,PHENYTOIN,Phenytoin may decrease the serum concentration of Doxycycline. MOA: Induction of metabolism,Minocycline,D
DOXYCYCLINE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Doxycycline. MOA: Induction of CYP3A4,Minocycline,D
DULOXETINE,CIPROFLOXACIN,Ciprofloxacin may increase the serum concentration of Duloxetine. MOA: Inhibition of CYP1A2,Levofloxacin,D
DULOXETINE,FLUVOXAMINE,Increased duloxetine levels due to CYP1A2 inhibition,Sertraline,D
DULOXETINE,LINEZOLID,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,X
DULOXETINE,TRAMADOL,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,D
ENALAPRIL,LITHIUM,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
ENALAPRIL,POTASSIUM SUPPLEMENTS,Increased risk of hyperkalemia,Consult prescriber,D
ERYTHROMYCIN,ATORVASTATIN,Erythromycin may increase the serum concentration of Atorvastatin. MOA: Inhibition of CYP3A4,Azithromycin,D
ERYTHROMYCIN,CARBAMAZEPINE,Erythromycin may increase the serum concentration of Carbamazepine. MOA: Inhibition of CYP3A4,Azithromycin,D
ERYTHROMYCIN,CYCLOSPORINE,Increased cyclosporine levels due to CYP3A4 inhibition,Azithromycin,D
ERYTHROMYCIN,SIMVASTATIN,Erythromycin may increase the serum concentration of Simvastatin. MOA: Inhibition of CYP3A4,Pravastatin,D
ERYTHROMYCIN,THEOPHYLLINE,Erythromycin may increase the serum concentration of Theophylline. MOA: Inhibition of CYP3A4,Azithromycin,D
ERYTHROMYCIN,WARFARIN,Increased anticoagulant effect due to CYP3A4 inhibition,Apixaban,D
ESCITALOPRAM,ASPIRIN,Increased risk of bleeding due to serotonergic effects,Paracetamol,D
ESCITALOPRAM,LINEZOLID,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,X
ESCITALOPRAM,TRAMADOL,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,D
ETHAMBUTOL,RIFAMPICIN,Rifampicin may decrease the serum concentration of Ethambutol. MOA: Induction of metabolism,Consult prescriber,D
ETODOLAC,LITHIUM,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
ETODOLAC,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
ETODOLAC,WARFARIN,Increased anticoagulant effect due to additive effects,Apixaban,D
ETORICOXIB,LITHIUM,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
ETORICOXIB,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
ETORICOXIB,WARFARIN,Increased anticoagulant effect due to CYP2C9 inhibition,Apixaban,D
EFAVIRENZ,RIFAMPICIN,Rifampicin may decrease the serum concentration of Efavirenz. MOA: Induction of CYP3A4,Consult prescriber,D
FAMOTIDINE,METHOTREXATE,Potential increase in methotrexate levels due to altered pH,Ranitidine,D
FELBAMATE,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Felbamate. MOA: Induction of metabolism,Levetiracetam,D
FELBAMATE,PHENYTOIN,Phenytoin may decrease the serum concentration of Felbamate. MOA: Induction of metabolism,Levetiracetam,D
FELBAMATE,VALPROATE,Increased valproate levels due to inhibition of metabolism,Levetiracetam,D
FENOFIBRATE,ATORVASTATIN,Increased risk of myopathy due to additive effects,Pravastatin,D
FENOFIBRATE,SIMVASTATIN,Increased risk of myopathy due to additive effects,Pravastatin,D
FENOFIBRATE,WARFARIN,Increased anticoagulant effect due to displacement from protein binding,Apixaban,D
FERROUS SULFATE,LEVOTHYROXINE,Chelation reducing levothyroxine absorption,Separate the doses,D
FERROUS SULFATE,QUINOLONES,Chelation reducing quinolone absorption,Separate the doses,D
FERROUS SULFATE,TETRACYCLINE,Chelation reducing tetracycline absorption,Separate the doses,D
FLUCONAZOLE,AMITRIPTYLINE,Fluconazole may increase the serum concentration of Amitriptyline. MOA: Inhibition of CYP2C19,Itraconazole,D
FLUCONAZOLE,CARBAMAZEPINE,Fluconazole may increase the serum concentration of Carbamazepine. MOA: Inhibition of CYP3A4,Itraconazole,D
FLUCONAZOLE,CELECOXIB,Fluconazole may increase the serum concentration of Celecoxib. MOA: Inhibition of CYP2C9,Itraconazole,D
FLUCONAZOLE,SIMVASTATIN,Fluconazole may increase the serum concentration of Simvastatin. MOA: Inhibition of CYP3A4,Pravastatin,D
FLUCONAZOLE,WARFARIN,Increased anticoagulant effect due to CYP2C9 inhibition,Apixaban,D
FLUDROCORTISONE,POTASSIUM SUPPLEMENTS,Increased risk of hyperkalemia,Consult prescriber,D
FLUOXETINE,CARBAMAZEPINE,Fluoxetine may increase the serum concentration of Carbamazepine. MOA: Inhibition of CYP3A4,Sertraline,D
FLUOXETINE,LINEZOLID,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,X
FLUOXETINE,PHENYTOIN,Fluoxetine may increase the serum concentration of Phenytoin. MOA: Inhibition of CYP2C9,Sertraline,D
FLUOXETINE,TRAMADOL,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,D
FLUOXETINE,WARFARIN,Increased anticoagulant effect due to CYP2C9 inhibition,Apixaban,D
FLUPIRTINE,ALCOHOL,Additive CNS depression,Separate the doses,D
